timestamp,open,high,low,close,volume
2025-07-28 19:55:00,263.0,263.01,263.0,263.0,204
2025-07-28 19:50:00,262.904,263.3,262.904,263.01,84
2025-07-28 19:45:00,263.0,263.1,262.86,263.1,159
2025-07-28 19:40:00,263.1,263.21,262.95,263.0,61
2025-07-28 19:35:00,263.09,263.1,263.09,263.1,18
2025-07-28 19:30:00,263.09,263.09,263.09,263.09,4
2025-07-28 19:25:00,263.1,263.1,263.01,263.09,135
2025-07-28 19:20:00,263.0,263.25,262.95,263.25,141
2025-07-28 19:15:00,263.0,263.0,263.0,263.0,12
2025-07-28 19:10:00,263.25,263.25,262.86,263.0,194
2025-07-28 19:05:00,263.25,263.4,263.01,263.4,32
2025-07-28 19:00:00,263.21,263.23,262.86,263.23,439873
2025-07-28 18:55:00,263.22,263.31,262.86,262.914,115
2025-07-28 18:50:00,263.18,263.4,262.86,263.02,154
2025-07-28 18:45:00,263.17,263.4,263.17,263.18,11
2025-07-28 18:40:00,263.18,263.19,263.0,263.17,73
2025-07-28 18:35:00,263.11,263.3,263.0,263.19,106
2025-07-28 18:30:00,263.21,263.21,262.8,263.01,439957
2025-07-28 18:25:00,263.0,263.3,263.0,263.3,58
2025-07-28 18:15:00,263.01,263.19,263.0,263.02,559
2025-07-28 18:10:00,263.11,263.18,263.0,263.01,41
2025-07-28 18:05:00,263.05,263.18,262.8975,263.18,595
2025-07-28 18:00:00,263.15,263.15,263.05,263.05,131
2025-07-28 17:55:00,263.16,263.18,263.05,263.18,171
2025-07-28 17:50:00,263.25,263.25,263.074,263.18,126
2025-07-28 17:45:00,263.18,263.38,263.05,263.05,511
2025-07-28 17:40:00,263.1,263.38,263.05,263.19,8
2025-07-28 17:35:00,263.05,263.38,263.05,263.09,50
2025-07-28 17:30:00,263.1,263.18,263.1,263.18,105
2025-07-28 17:25:00,263.235,263.25,263.1,263.1,337
2025-07-28 17:20:00,263.14,263.4,263.1,263.11,172
2025-07-28 17:15:00,263.05,263.3,263.05,263.1,52
2025-07-28 17:10:00,263.13,263.22,263.01,263.05,1125
2025-07-28 17:05:00,263.21,263.3,263.1,263.13,155
2025-07-28 17:00:00,263.0911,263.44,263.0911,263.44,103
2025-07-28 16:55:00,263.08,263.44,263.08,263.23,206
2025-07-28 16:50:00,263.3,263.43,260.5993,263.0947,614
2025-07-28 16:45:00,263.3,263.44,263.08,263.3,178
2025-07-28 16:40:00,263.37,263.431,263.08,263.4075,82
2025-07-28 16:35:00,263.2,263.39,263.08,263.191,1973
2025-07-28 16:30:00,263.21,263.4,263.08,263.2,90
2025-07-28 16:25:00,263.17,263.74,263.1,263.2,1565
2025-07-28 16:20:00,263.21,263.21,263.0101,263.1,7792
2025-07-28 16:15:00,263.21,263.21,262.6,263.0,187
2025-07-28 16:10:00,263.21,263.3,262.67,263.21,440757
2025-07-28 16:05:00,263.27,263.2999,262.6,263.21,641
2025-07-28 16:00:00,263.32,263.33,262.0,263.21,999541
2025-07-28 15:55:00,262.8,263.28,262.34,263.21,332132
2025-07-28 15:50:00,262.96,263.1314,262.7914,262.82,108361
2025-07-28 15:45:00,263.06,263.155,262.89,262.9364,66693
2025-07-28 15:40:00,262.91,263.2,262.7881,263.01,53883
2025-07-28 15:35:00,262.695,263.04,262.5,262.955,89970
2025-07-28 15:30:00,262.79,262.93,262.56,262.6968,55355
2025-07-28 15:25:00,262.59,262.78,262.4805,262.695,249764
2025-07-28 15:20:00,262.595,262.85,262.55,262.615,44124
2025-07-28 15:15:00,262.685,262.685,262.46,262.61,32795
2025-07-28 15:10:00,262.58,262.7,262.5,262.7,21432
2025-07-28 15:05:00,262.505,262.649,262.48,262.61,58916
2025-07-28 15:00:00,262.27,262.58,262.225,262.58,25651
2025-07-28 14:55:00,262.32,262.3999,262.2,262.225,36933
2025-07-28 14:50:00,262.49,262.54,262.21,262.32,23520
2025-07-28 14:45:00,262.33,262.575,262.305,262.51,31363
2025-07-28 14:40:00,262.1201,262.36,262.1201,262.34,36565
2025-07-28 14:35:00,261.955,262.25,261.955,262.25,31757
2025-07-28 14:30:00,262.02,262.09,261.8,261.99,29771
2025-07-28 14:25:00,262.07,262.2,261.85,262.08,50890
2025-07-28 14:20:00,262.01,262.09,261.9,261.97,37110
2025-07-28 14:15:00,262.045,262.16,261.93,262.01,34603
2025-07-28 14:10:00,262.0,262.13,261.9,262.1,35802
2025-07-28 14:05:00,262.03,262.21,261.93,261.95,36339
2025-07-28 14:00:00,261.995,262.12,261.69,261.9916,45687
2025-07-28 13:55:00,261.83,262.1,261.83,262.0,31587
2025-07-28 13:50:00,261.745,261.87,261.3788,261.78,32977
2025-07-28 13:45:00,261.81,261.97,261.6,261.77,32740
2025-07-28 13:40:00,261.705,261.8886,261.5711,261.84,32833
2025-07-28 13:35:00,261.79,261.89,261.62,261.7,26710
2025-07-28 13:30:00,261.62,261.99,261.55,261.73,44376
2025-07-28 13:25:00,261.3569,261.74,261.3569,261.5962,62767
2025-07-28 13:20:00,261.6,261.71,261.33,261.43,23942
2025-07-28 13:15:00,261.87,261.9,261.37,261.4401,31006
2025-07-28 13:10:00,262.1099,262.15,261.67,261.77,31486
2025-07-28 13:05:00,262.27,262.29,262.065,262.0859,30031
2025-07-28 13:00:00,262.095,262.35,262.01,262.2451,35569
2025-07-28 12:55:00,262.06,262.18,261.8685,262.18,33097
2025-07-28 12:50:00,262.11,262.23,261.93,262.01,28462
2025-07-28 12:45:00,262.2375,262.29,262.08,262.105,19911
2025-07-28 12:40:00,262.49,262.63,262.1502,262.225,30388
2025-07-28 12:35:00,262.705,262.705,262.355,262.4655,31928
2025-07-28 12:30:00,262.565,262.74,262.47,262.705,28102
2025-07-28 12:25:00,262.82,262.89,262.46,262.565,60214
2025-07-28 12:20:00,262.8243,262.95,262.7,262.845,43049
2025-07-28 12:15:00,262.72,262.99,262.66,262.83,44727
2025-07-28 12:10:00,262.45,262.73,262.1,262.73,28848
2025-07-28 12:05:00,263.335,263.47,262.4701,262.525,45778
2025-07-28 12:00:00,263.47,263.55,263.23,263.335,32238
2025-07-28 11:55:00,263.65,263.69,263.22,263.48,57586
2025-07-28 11:50:00,262.9899,263.73,262.9899,263.7,48360
2025-07-28 11:45:00,263.45,263.45,262.8507,262.99,34616
2025-07-28 11:40:00,263.57,263.63,263.16,263.37,36579
2025-07-28 11:35:00,263.93,264.0,263.5,263.57,61853
